-	pitkä	-	adjective	10	-	-	-	-	-
-	polttava	-	adjective	10	-	-	-	-	-
-	puhdas	-	adjective	41	t:d	-	-	-	-
-	pullea	-	adjective	15	-	-	-	-	-
-	punainen	-	adjective	38	-	-	-	-	-
-	punakka	-	adjective	14	kk:k	-	-	-	-
-	punertava	-	adjective	10	-	-	-	-	-
-	puoli	-	adjective	26	-	-	-	-	-
-	pyhä	-	adjective	10	-	-	-	-	-
-	pysty	-	adjective	1	-	-	-	-	-
-	pyöreä	-	adjective	15	-	-	-	-	-
-	raaka	-	adjective	9	k:	-	-	-	-
-	raikas	-	adjective	41	kk:k	-	-	-	-
-	railakas	-	adjective	41	kk:k	-	-	-	-
-	raju	-	adjective	1	-	-	-	-	-
-	rapea	-	adjective	15	-	-	-	-	-
-	raskas	-	adjective	41	-	-	-	-	-
-	rehevä	-	adjective	10	-	-	-	-	-
-	reipas	-	adjective	41	pp:p	-	-	-	-
-	ripeä	-	adjective	15	-	-	-	-	-
-	riuska	-	adjective	9	-	-	-	-	-
-	rivakka	-	adjective	14	kk:k	-	-	-	-
-	rivo	-	adjective	1	-	-	-	-	-
-	rohkea	-	adjective	15	-	-	-	-	-
-	roteva	-	adjective	10	-	-	-	-	-
-	ruma	-	adjective	10	-	-	-	-	-
-	runsas	-	adjective	41	-	-	-	-	-
-	ruskea	-	adjective	15	-	-	-	-	-
-	räikeä	-	adjective	15	-	-	-	-	-
-	rämäkkä	-	adjective	14	kk:k	-	-	-	-
-	römeä	-	adjective	15	-	-	-	-	-
-	samea	-	adjective	15	-	-	-	-	-
-	sata	-	adjective	9	t:d	-	-	-	-
-	selkeä	-	adjective	15	-	-	-	-	-
-	selvä	-	adjective	10	-	-	-	-	-
-	sileä	-	adjective	15	-	-	-	-	-
-	sininen	-	adjective	38	-	-	-	-	-
-	siro	-	adjective	1	-	-	-	-	-
-	sitkeä	-	adjective	15	-	-	-	-	-
-	soikea	-	adjective	15	-	-	-	-	-
-	solakka	-	adjective	14	kk:k	-	-	-	-
-	sorea	-	adjective	15	-	-	-	-	-
-	sorja	-	adjective	10	-	-	-	-	-
-	soukka	-	adjective	10	kk:k	-	-	-	-
-	suippo	-	adjective	1	pp:p	-	-	-	-
-	sujuva	-	adjective	10	-	-	-	-	-
-	sukkela	-	adjective	10	-	-	-	-	-
-	sulava	-	adjective	10	-	-	-	-	-
-	suora	-	adjective	10	-	-	-	-	-
-	suppea	-	adjective	15	-	-	-	-	-
-	suuri	-	adjective	26	-	-	-	-	-
-	syvä	-	adjective	10	-	-	-	-	-
-	särkynyt	-	adjective	47	-	-	-	-	-
-	taaja	-	adjective	9	-	-	-	-	-
-	tanakka	-	adjective	14	kk:k	-	-	-	-
-	tarkka	-	adjective	9	kk:k	-	-	-	-
-	terävä	-	adjective	10	-	-	-	-	-
-	tiheä	-	adjective	15	-	-	-	-	-
-	tiivis	-	adjective	41	-	-	-	-	-
-	tiukka	-	adjective	9	kk:k	-	-	-	-
-	tosi	-	adjective	27	-	-	-	-	-
-	tukeva	-	adjective	10	-	-	-	-	-
-	tumma	-	adjective	10	-	-	-	-	-
-	tuttu	-	adjective	1	tt:t	-	-	-	-
-	tuuhea	-	adjective	15	-	-	-	-	-
-	tylppä	-	adjective	10	pp:p	-	-	-	-
-	tyyni	-	adjective	26	-	-	-	-	-
-	uhkea	-	adjective	15	-	-	-	-	-
-	uljas	-	adjective	41	-	-	-	-	-
-	usea	-	adjective	15	-	-	-	-	-
-	uusi	-	adjective	27	-	-	-	-	-
-	vaalea	-	adjective	15	-	-	-	-	-
-	vahva	-	adjective	9	-	-	-	-	-
-	vaikea	-	adjective	15	-	-	-	-	-
-	vajaa	-	adjective	17	-	-	-	-	-
-	vakava	-	adjective	10	-	-	-	-	-
-	valkoinen	-	adjective	38	-	-	-	-	-
-	vanha	-	adjective	9	-	-	-	-	-
-	vankka	-	adjective	9	kk:k	-	-	-	-
-	varma	-	adjective	9	-	-	-	-	-
-	vihreä	-	adjective	10	-	-	-	-	-
-	vihreä	-	adjective	15	-	-	-	-	-
-	vilkas	-	adjective	41	kk:k	-	-	-	-
-	vino	-	adjective	1	-	-	-	-	-
-	voimakas	-	adjective	41	kk:k	-	-	-	-
-	vuolas	-	adjective	41	-	-	-	-	-
-	vähä	-	adjective	10	-	-	-	-	-
-	väkevä	-	adjective	10	-	-	-	-	-
-	väljä	-	adjective	10	-	-	-	-	-
-	väärä	-	adjective	10	-	-	-	-	-
-	ylevä	-	adjective	10	-	-	-	-	-
-	ylväs	-	adjective	41	-	-	-	-	-
