-	BBC	-	proper	18B	-	-	-	-	-
-	NRK	-	proper	18B	-	-	-	-	-
-	ORF	-	proper	10B|5	-	-	-	-	-
-	PBS	-	proper	10B	-	-	-	-	-
-	RAI	-	proper	18B	-	front|back	-	-	-
-	RT	-	proper	18B	-	-	-	-	-
-	RTÉ	-	proper	18B	-	front	e	-	-
-	RÚV	-	proper	18B	-	-	-	-	-
-	SVT	-	proper	18B	-	-	-	-	-
-	Suspilne	-	proper	8	-	-	-	-	-
-	TV5	-	proper	27B	-	-	-	-	-
-	TV5Monde	-	proper	8	-	-	-	-	-
-	UA:PBC	-	proper	18B	-	-	-	-	-
-	YLE	-	proper	8|8B	-	-	-	-	-
-	Yle	-	proper	8	-	-	-	-	-
-	Yleis|radio	-	proper	3	-	-	-	-	-
