-	Andrews	-	proper	5	-	-	-	-	-
-	Andō	-	proper	21|1	-	-	-	-	-
-	Angerer	-	proper	6	-	-	-	-	-
-	Angervo	-	proper	1	-	-	-	-	-
-	Anhova	-	proper	10	-	-	-	-	-
-	Aniston	-	proper	5	-	-	-	-	-
-	Anker	-	proper	6	-	-	-	-	-
-	Annala	-	proper	12	-	-	-	-	-
-	Annila	-	proper	13	-	-	-	-	-
-	Annunen	-	proper	38	-	-	-	-	-
-	Antell	-	proper	5	-	-	-	-	-
-	Antikainen	-	proper	38	-	-	-	-	-
-	Antila	-	proper	12	-	-	-	-	-
-	Antonen	-	proper	38	-	-	-	-	-
-	Anttalainen	-	proper	38	-	-	-	-	-
-	Anttila	-	proper	12	-	-	-	-	-
-	Anttonen	-	proper	38	-	-	-	-	-
-	Antón	-	proper	5	-	-	-	-	-
-	Aoi	-	proper	18	-	-	-	-	-
-	Aoki	-	proper	5	-	-	-	-	-
-	Aoyama	-	proper	9	-	-	-	-	-
-	Appel	-	proper	6	-	-	-	-	-
-	Appelberg	-	proper	5	-	-	-	-	-
-	Appelgren	-	proper	5	-	-	-	-	-
-	Ara	-	proper	9	-	-	-	-	-
-	Arai	-	proper	18	-	-	-	-	-
-	Arakawa	-	proper	9	-	-	-	-	-
-	Araki	-	proper	5	-	-	-	-	-
-	Aranda	-	proper	9	-	-	-	-	-
-	Ardern	-	proper	5	-	-	-	-	-
-	Arhipov	-	proper	5	-	-	-	-	-
-	Arima	-	proper	9	-	-	-	-	-
-	Armanto	-	proper	1	-	-	-	-	-
-	Armfelt	-	proper	5	-	-	-	-	-
-	Armstrong	-	proper	5	-	-	-	-	-
-	Arndt	-	proper	5	-	-	-	-	-
-	Arni	-	proper	5	-	-	-	-	-
-	Arnim	-	proper	5	-	-	-	-	-
-	Arnkil	-	proper	5	-	-	-	-	-
-	Arnold	-	proper	5	-	-	-	-	-
-	Aro	-	proper	1	-	-	-	-	-
-	Arola	-	proper	12	-	-	-	-	-
-	Aronen	-	proper	38	-	-	-	-	-
-	Aronsson	-	proper	5	-	-	-	-	-
-	Arponen	-	proper	38	-	-	-	-	-
-	Arppe	-	proper	8	-	-	-	-	-
-	Arrhenius	-	proper	39	-	-	-	-	-
-	Artikainen	-	proper	38	-	-	-	-	-
-	Arve	-	proper	8	-	-	-	-	-
-	Arvidsson	-	proper	5	-	-	-	-	-
-	Arvola	-	proper	12	-	-	-	-	-
-	Asano	-	proper	2	-	-	-	-	-
-	Asikainen	-	proper	38	-	-	-	-	-
-	Askola	-	proper	12	-	-	-	-	-
-	Asp	-	proper	5	-	-	-	-	-
-	Aspegren	-	proper	5	-	-	-	-	-
-	Aspelin	-	proper	5	-	-	-	-	-
-	Aspelund	-	proper	5	-	-	-	-	-
-	Asperger	-	proper	6	-	-	-	-	-
-	Asplund	-	proper	5	-	-	-	-	-
