-	aktiivi	-	adjective	5	-	back	-	-	-
-	aktiivinen	-	adjective	38	-	back	-	-	-
-	aktuaali	-	adjective	5	-	-	-	-	-
-	aktuaalinen	-	adjective	38	-	back	-	-	-
-	aktuelli	-	adjective	5	-	back	-	-	-
-	akustinen	-	adjective	38	-	back	-	-	-
-	akuutti	-	adjective	5	tt:t	back	-	-	-
-	akuuttinen	-	adjective	38	-	back	-	-	-
-	akvinolainen	-	adjective	38	-	-	-	-	-
-	alainen	-	adjective	38	-	back	-	-	-
-	alakkainen	-	adjective	38	-	back	-	-	-
-	alamainen	-	adjective	38	-	back	-	-	-
-	alastarolainen	-	adjective	38	-	-	-	-	-
-	alaston	-	adjective	34	-	back	-	-	-
-	alava	-	adjective	10	-	back	-	-	-
-	alavutelainen	-	adjective	38	-	-	-	-	-
-	albanialainen	-	adjective	38	-	back	-	-	-
-	aleksandrialainen	-	adjective	38	-	-	-	-	-
-	aleksityyminen	-	adjective	38	-	front|back	-	-	-
-	alempi	-	adjective	16	mp:mm	back	-	+poss|non-comparable	-
-	aleneva	-	adjective	10	-	back	-	-	-
-	alentava	-	adjective	10	-	back	-	-	-
-	alentuva	-	adjective	10	-	back	-	-	-
-	alentuvainen	-	adjective	38	-	back	-	-	-
-	algebrallinen	-	adjective	38	-	back	-	-	-
-	algerialainen	-	adjective	38	-	-	-	-	-
-	algerilainen	-	adjective	38	-	-	-	-	-
-	alhainen	-	adjective	38	-	back	-	-	-
-	alimmainen	-	adjective	38	-	back	-	-	-
-	alin	-	adjective	36	-	back	-	non-comparable	-
-	alinen	-	adjective	38	-	back	-	rare	-
-	alisteinen	-	adjective	38	-	back	-	-	-
-	alistuva	-	adjective	10	-	back	-	-	-
-	alistuvainen	-	adjective	38	-	back	-	-	-
-	alituinen	-	adjective	38	-	back	-	-	-
-	alkalinen	-	adjective	38	-	back	-	-	-
-	alkeellinen	-	adjective	38	-	back	-	-	-
-	alkemistinen	-	adjective	38	-	-	-	-	-
-	alkiolainen	-	adjective	38	-	back	-	-	-
-	alkoholiton	-	adjective	34	tt:t	back	-	-	-
-	allegorinen	-	adjective	38	-	back	-	-	-
-	allekkainen	-	adjective	38	-	back	-	-	-
-	allergeeninen	-	adjective	38	-	front|back	-	-	-
-	allerginen	-	adjective	38	-	back	-	-	-
-	allistinen	-	adjective	38	-	-	-	-	-
-	allosteerinen	-	adjective	38	-	-	-	-	-
-	alluviaalinen	-	adjective	38	-	-	-	-	-
-	aloittainen	-	adjective	38	-	back	-	-	-
-	aloittamaton	-	adjective	34	tt:t	back	-	-	-
-	aloitteellinen	-	adjective	38	-	back	-	-	-
-	aloitteikas	-	adjective	41	kk:k	back	-	-	-
-	alokasmainen	-	adjective	38	-	back	-	-	-
-	alpakkainen	-	adjective	38	-	back	-	-	-
-	alpiininen	-	adjective	38	-	back	-	-	-
-	alsacelainen	-	adjective	38	-	-	-	-	-
-	alternatiivinen	-	adjective	38	-	-	-	-	-
-	altis	-	adjective	41	tt:t	back	-	-	-
-	altruistinen	-	adjective	38	-	back	-	-	-
-	alueellinen	-	adjective	38	-	back	-	-	-
-	alueittainen	-	adjective	38	-	back	-	-	-
-	alumiininen	-	adjective	38	-	back	-	-	-
-	alustava	-	adjective	10	-	back	-	-	-
-	alviton	-	adjective	34	tt:t	-	-	-	-
-	amatöörimäinen	-	adjective	38	-	front	-	-	-
-	ambidekstrinen	-	adjective	38	-	-	-	-	-
-	ambiofoninen	-	adjective	38	-	back	-	-	-
-	ambivalentti	-	adjective	5	tt:t	back	-	-	-
-	ambivalenttinen	-	adjective	38	-	back	-	-	-
-	amblyogeeninen	-	adjective	38	-	front|back	-	-	-
-	amerikkalainen	-	adjective	38	-	back	-	-	-
-	amfibinen	-	adjective	38	-	-	-	-	-
-	ammanilainen	-	adjective	38	-	-	-	-	-
-	ammateittainen	-	adjective	38	-	back	-	-	-
-	ammatillinen	-	adjective	38	-	back	-	-	-
-	ammattimainen	-	adjective	38	-	back	-	-	-
-	ammoinen	-	adjective	38	-	back	-	poet	-
-	amoraalinen	-	adjective	38	-	-	-	-	-
-	amorfinen	-	adjective	38	-	back	-	-	-
-	amsterdamilainen	-	adjective	38	-	-	-	-	-
-	amyotrofinen	-	adjective	38	-	-	-	-	-
-	anaalinen	-	adjective	38	-	back	-	-	-
-	anabolinen	-	adjective	38	-	back	-	-	-
-	anaerobinen	-	adjective	38	-	-	-	-	-
-	anaforinen	-	adjective	38	-	-	-	-	-
-	anafylaktinen	-	adjective	38	-	back	-	-	-
-	anakoluuttinen	-	adjective	38	-	back	-	-	-
-	anakronistinen	-	adjective	38	-	back	-	-	-
-	analfabeetti	-	adjective	5	tt:t	-	-	-	-
-	analgeettinen	-	adjective	38	-	back	-	-	-
-	analoginen	-	adjective	38	-	back	-	-	-
-	analyyttinen	-	adjective	38	-	front|back	-	-	-
-	anamnestinen	-	adjective	38	-	back	-	-	-
-	anaplastinen	-	adjective	38	-	-	-	-	-
-	anarkistinen	-	adjective	38	-	back	-	-	-
-	anatominen	-	adjective	38	-	back	-	-	-
-	andorralainen	-	adjective	38	-	-	-	-	-
-	androgeeninen	-	adjective	38	-	front|back	-	-	-
-	androgyyninen	-	adjective	38	-	front|back	-	-	-
-	androidinen	-	adjective	38	-	-	-	-	-
-	androloginen	-	adjective	38	-	back	-	-	-
-	aneeminen	-	adjective	38	-	back	-	-	-
-	anesteettinen	-	adjective	38	-	-	-	-	-
-	anestesiologinen	-	adjective	38	-	back	-	-	-
-	anglikaaninen	-	adjective	38	-	back	-	-	-
-	angolalainen	-	adjective	38	-	-	-	-	-
-	animaalinen	-	adjective	38	-	back	-	-	-
-	animistinen	-	adjective	38	-	back	-	-	-
-	anisokroninen	-	adjective	38	-	-	-	-	-
-	anisotrooppinen	-	adjective	38	-	-	-	-	-
-	anjalainen	-	adjective	38	-	-	-	-	-
-	anjalalainen	-	adjective	38	-	-	-	-	-
-	ankara	-	adjective	10	-	back	-	-	-
-	ankaralainen	-	adjective	38	-	-	-	-	-
-	ankea	-	adjective	15	-	back	-	-	-
-	ankyloiva	-	adjective	10	-	-	-	-	-
-	annuaalinen	-	adjective	38	-	-	-	-	-
-	anomaalinen	-	adjective	38	-	back	-	-	-
-	anonyymi	-	adjective	5	-	front|back	-	-	-
-	anoreksigeeninen	-	adjective	38	-	front|back	-	-	-
-	anorektaalinen	-	adjective	38	-	-	-	-	-
-	anorektinen	-	adjective	38	-	back	-	-	-
-	anorogeeninen	-	adjective	38	-	front|back	-	-	-
-	ansaitsematon	-	adjective	34	tt:t	back	-	-	-
-	ansioitunut	-	adjective	47	-	-	-	-	-
-	ansiokas	-	adjective	41	kk:k	back	-	-	-
-	ansioton	-	adjective	34	tt:t	back	-	-	-
-	antagonistinen	-	adjective	38	-	back	-	-	-
-	antananarivolainen	-	adjective	38	-	-	-	-	-
-	antarktinen	-	adjective	38	-	back	-	-	-
-	antaumuksellinen	-	adjective	38	-	back	-	-	-
-	antava	-	adjective	10	-	back	-	-	-
-	antelias	-	adjective	41	-	back	-	-	-
-	anteriorinen	-	adjective	38	-	-	-	-	-
-	anterolateraalinen	-	adjective	38	-	-	-	-	-
-	antiadrenerginen	-	adjective	38	-	-	-	-	-
-	antiarytminen	-	adjective	38	-	front|back	-	-	-
-	antibakteerinen	-	adjective	38	-	back	-	-	-
-	antibioottinen	-	adjective	38	-	back	-	-	-
-	antidepressiivinen	-	adjective	38	-	-	-	-	-
-	antidiureettinen	-	adjective	38	-	-	-	-	-
-	antiepileptinen	-	adjective	38	-	-	-	-	-
-	antihypertensiivinen	-	adjective	38	-	-	-	-	-
-	antiikkinen	-	adjective	38	-	back	-	-	-
-	antikommunistinen	-	adjective	38	-	back	-	-	-
-	antikristillinen	-	adjective	38	-	-	-	-	-
-	antikvaarinen	-	adjective	38	-	back	-	-	-
-	antimikrobinen	-	adjective	38	-	back	-	-	-
-	antimilitaristinen	-	adjective	38	-	back	-	-	-
-	antimykoottinen	-	adjective	38	-	-	-	-	-
-	antipaattinen	-	adjective	38	-	-	-	-	-
-	antiproliferatiivinen	-	adjective	38	-	-	-	-	-
-	antipyreettinen	-	adjective	38	-	-	-	-	-
-	antirasistinen	-	adjective	38	-	-	-	-	-
-	antisemiittinen	-	adjective	38	-	front	-	-	-
-	antisemitistinen	-	adjective	38	-	front	-	-	-
-	antiseptinen	-	adjective	38	-	front|back	-	-	-
-	antisosiaalinen	-	adjective	38	-	back	-	-	-
-	antistaattinen	-	adjective	38	-	back	-	-	-
-	antitromboottinen	-	adjective	38	-	-	-	-	-
-	antiviraalinen	-	adjective	38	-	-	-	-	-
-	antoisa	-	adjective	10	-	back	-	-	-
-	antropogeeninen	-	adjective	38	-	front|back	-	-	-
-	antropologinen	-	adjective	38	-	back	-	-	-
-	antropomorfinen	-	adjective	38	-	-	-	-	-
-	antroposofinen	-	adjective	38	-	-	-	-	-
-	anttolainen	-	adjective	38	-	-	-	-	-
-	anttolalainen	-	adjective	38	-	-	-	-	-
-	apaattinen	-	adjective	38	-	back	-	-	-
-	apatogeeninen	-	adjective	38	-	front|back	-	-	-
-	apea	-	adjective	15	-	back	-	-	-
-	apialainen	-	adjective	38	-	-	-	-	-
-	apikaalinen	-	adjective	38	-	-	-	-	-
-	aplastinen	-	adjective	38	-	-	-	-	-
-	apokalyptinen	-	adjective	38	-	front|back	-	-	-
-	apokriininen	-	adjective	38	-	-	-	-	-
-	apokryfinen	-	adjective	38	-	front|back	-	-	-
-	apolloninen	-	adjective	38	-	-	-	-	-
-	apologeettinen	-	adjective	38	-	back	-	-	-
-	aposteriorinen	-	adjective	38	-	-	-	-	-
-	apostolinen	-	adjective	38	-	back	-	-	-
-	approksimatiivinen	-	adjective	38	-	-	-	-	-
-	apriorinen	-	adjective	38	-	-	-	-	-
-	arabialainen	-	adjective	38	-	back	-	-	-
-	arbitraarinen	-	adjective	38	-	back	-	-	-
-	argentiinalainen	-	adjective	38	-	-	-	-	-
-	argumentatiivinen	-	adjective	38	-	-	-	-	-
-	aristokraattinen	-	adjective	38	-	back	-	-	-
-	aristoteelinen	-	adjective	38	-	-	-	-	-
-	aritmeettinen	-	adjective	38	-	back	-	-	-
-	arjalainen	-	adjective	38	-	back	-	-	-
-	arka	-	adjective	9	k:	back	-	-	-
-	arkaainen	-	adjective	38	-	back	-	-	-
-	arkaistinen	-	adjective	38	-	back	-	-	-
-	arkeologinen	-	adjective	38	-	back	-	-	-
-	arkinen	-	adjective	38	-	back	-	-	-
-	arkkitehtoninen	-	adjective	38	-	back	-	-	-
-	arktinen	-	adjective	38	-	back	-	-	-
-	armahainen	-	adjective	38	-	back	-	poet	-
-	armahtava	-	adjective	10	-	back	-	-	-
-	armahtavainen	-	adjective	38	-	back	-	poet	-
-	armainen	-	adjective	38	-	back	-	poet	-
-	armas	-	adjective	41	-	back	-	poet	-
-	armelias	-	adjective	41	-	back	-	-	-
-	armenialainen	-	adjective	38	-	-	-	-	-
-	armias	-	adjective	41	-	back	-	dated	-
-	armoinen	-	adjective	38	-	back	-	poet	-
-	armoitettu	-	adjective	1	tt:t	back	-	-	-
-	armollinen	-	adjective	38	-	back	-	-	-
-	armoton	-	adjective	34	tt:t	back	-	-	-
-	aromaattinen	-	adjective	38	-	back	-	-	-
-	aromikas	-	adjective	41	kk:k	back	-	-	-
-	arpinen	-	adjective	38	-	back	-	-	-
-	arrogantti	-	adjective	5	tt:t	back	-	-	-
-	arteesinen	-	adjective	38	-	back	-	-	-
-	artikulatorinen	-	adjective	38	-	-	-	-	-
-	artistinen	-	adjective	38	-	back	-	-	-
-	artsakhilainen	-	adjective	38	-	-	-	-	-
-	arvaamaton	-	adjective	34	tt:t	back	-	-	-
-	arveleva	-	adjective	10	-	back	-	-	-
-	arvelevainen	-	adjective	38	-	back	-	-	-
-	arveluttava	-	adjective	10	-	back	-	-	-
-	arvoinen	-	adjective	38	-	back	-	+poss	-
-	arvoisa	-	adjective	10	-	back	-	-	-
-	arvoituksellinen	-	adjective	38	-	back	-	-	-
-	arvokas	-	adjective	41	kk:k	back	-	-	-
-	arvollinen	-	adjective	38	-	back	-	poet	-
-	arvosteleva	-	adjective	10	-	back	-	-	-
-	arvoton	-	adjective	34	tt:t	back	-	-	-
-	arytminen	-	adjective	38	-	front|back	-	-	-
-	aseellinen	-	adjective	38	-	back	-	-	-
-	aseeton	-	adjective	34	tt:t	back	-	-	-
-	aseksuaalinen	-	adjective	38	-	-	-	-	-
-	asenteellinen	-	adjective	38	-	back	-	-	-
-	aseptinen	-	adjective	38	-	front|back	-	-	-
-	asfalttinen	-	adjective	38	-	back	-	-	-
-	asfyktinen	-	adjective	38	-	front|back	-	-	-
-	asiallinen	-	adjective	38	-	back	-	-	-
-	asiaton	-	adjective	34	tt:t	back	-	-	-
-	asikkalainen	-	adjective	38	-	-	-	-	-
-	asikkalalainen	-	adjective	38	-	-	-	-	-
-	asinaarinen	-	adjective	38	-	-	-	-	-
-	askaislainen	-	adjective	38	-	-	-	-	-
-	askaistelainen	-	adjective	38	-	-	-	-	-
-	askeettinen	-	adjective	38	-	back	-	-	-
-	askelittainen	-	adjective	38	-	back	-	-	-
-	askolalainen	-	adjective	38	-	-	-	-	-
-	asmaralainen	-	adjective	38	-	-	-	-	-
-	asosiaalinen	-	adjective	38	-	-	-	-	-
-	assosiatiivinen	-	adjective	38	-	back	-	-	-
-	assyrialainen	-	adjective	38	-	back	-	-	-
-	astanalainen	-	adjective	38	-	-	-	-	-
-	asteeninen	-	adjective	38	-	back	-	-	-
-	asteettainen	-	adjective	38	-	-	-	-	-
-	asteikollinen	-	adjective	38	-	back	-	-	-
-	asteinen	-	adjective	38	-	-	-	-	-
-	asteittainen	-	adjective	38	-	back	-	-	-
-	astmaattinen	-	adjective	38	-	back	-	-	-
-	astmainen	-	adjective	38	-	back	-	-	-
-	astraalinen	-	adjective	38	-	back	-	-	-
-	astrologinen	-	adjective	38	-	back	-	-	-
-	astronominen	-	adjective	38	-	back	-	-	-
-	asumaton	-	adjective	34	tt:t	back	-	-	-
-	asunciónilainen	-	adjective	38	-	-	-	-	-
-	asunnoton	-	adjective	34	tt:t	-	-	-	-
-	asuuri	-	adjective	6	-	back	-	-	-
-	asvalttinen	-	adjective	38	-	back	-	-	-
-	asymmetrinen	-	adjective	38	-	front|back	-	-	-
