-	af	-	none	!	-	-	-	foreign	-
-	al.	-	none	-	-	-	-	abbr|foreign	-
-	also	-	none	-	-	-	-	foreign	-
-	am	-	none	!	-	-	-	foreign	-
-	an	-	none	!	-	-	-	foreign	-
-	and	-	none	!	-	-	-	foreign	-
-	as	-	none	!	-	-	-	foreign	-
-	at	-	none	!	-	-	-	foreign	-
-	att	-	none	-	-	-	-	foreign	-
-	auf	-	none	-	-	-	-	foreign	-
-	av	-	none	-	-	-	-	foreign	-
-	bin	-	none	!	-	-	-	foreign	-
-	but	-	none	-	-	-	-	foreign	-
-	by	-	none	!	-	-	-	foreign	-
-	con	-	none	!	-	-	-	foreign	-
-	costa	-	none	!	-	-	-	foreign	-
-	cum	-	none	!	-	-	-	foreign	-
-	d.o.o.	-	none	-	-	-	-	abbr|foreign	-
-	da	-	none	!	-	-	-	foreign	-
-	das	-	none	!	-	-	-	foreign	-
-	de	-	none	!	-	-	-	foreign	-
-	degli	-	none	!	-	-	-	foreign	-
-	dei	-	none	!	-	-	-	foreign	-
-	del	-	none	!	-	-	-	foreign	-
-	della	-	none	!	-	-	-	foreign	-
-	dello	-	none	!	-	-	-	foreign	-
-	den	-	none	!	-	-	-	foreign	-
-	der	-	none	!	-	-	-	foreign	-
-	des	-	none	!	-	-	-	foreign	-
-	det	-	none	-	-	-	-	foreign	-
-	de’	-	none	!	-	-	-	foreign	-
-	di	-	none	!	-	-	-	foreign	-
-	die	-	none	!	-	-	-	foreign	-
-	din	-	none	-	-	-	-	foreign	-
-	dina	-	none	-	-	-	-	foreign	-
-	ditt	-	none	-	-	-	-	foreign	-
-	do	-	none	!	-	-	-	foreign	-
-	don	-	none	!	-	-	-	foreign	-
-	dos	-	none	!	-	-	-	foreign	-
-	du	-	none	!	-	-	-	foreign	-
-	e.g.	-	none	-	-	-	-	abbr|foreign	-
-	ein	-	none	-	-	-	-	foreign	-
-	eine	-	none	-	-	-	-	foreign	-
-	einem	-	none	-	-	-	-	foreign	-
-	einen	-	none	-	-	-	-	foreign	-
-	einer	-	none	-	-	-	-	foreign	-
-	eines	-	none	-	-	-	-	foreign	-
-	el	-	none	!	-	-	-	foreign	-
-	en	-	none	!	-	-	-	foreign	-
-	etc.	-	none	-	-	-	-	abbr|foreign	-
-	ett	-	none	!	-	-	-	foreign	-
-	for	-	none	!	-	-	-	foreign	-
-	from	-	none	!	-	-	-	foreign	-
-	från	-	none	!	-	-	-	foreign	-
-	för	-	none	-	-	-	-	foreign	-
-	genom	-	none	-	-	-	-	foreign	-
-	had	-	none	-	-	-	-	foreign	-
-	has	-	none	-	-	-	-	foreign	-
-	have	-	none	-	-	-	-	foreign	-
-	hl.	-	none	-	-	-	-	abbr|foreign	-
-	i	-	none	-	-	-	-	foreign	-
-	ibn	-	none	!	-	-	-	foreign	-
-	ifrån	-	none	!	-	-	-	foreign	-
-	im	-	none	!	-	-	-	foreign	-
-	in	-	none	!	-	-	-	foreign	-
-	into	-	none	!	-	-	-	foreign	-
-	is	-	none	!	-	-	-	foreign	-
-	la	-	none	!	-	-	-	foreign	-
-	las	-	none	!	-	-	-	foreign	-
-	le	-	none	!	-	-	-	foreign	-
-	les	-	none	!	-	-	-	foreign	-
-	los	-	none	!	-	-	-	foreign	-
-	min	-	none	-	-	-	-	foreign	-
-	mina	-	none	-	-	-	-	foreign	-
-	mitt	-	none	-	-	-	-	foreign	-
-	my	-	none	!	-	-	-	foreign	-
-	no	-	none	-	-	-	-	foreign	-
-	non	-	none	!	-	-	-	foreign	-
-	not	-	none	!	-	-	-	foreign	-
-	och	-	none	!	-	-	-	foreign	-
-	of	-	none	!	-	-	-	foreign	-
-	om	-	none	-	-	-	-	foreign	-
-	on	-	none	!	-	-	-	foreign	-
-	online	-	none	-	-	-	-	foreign	-
-	onto	-	none	!	-	-	-	foreign	-
-	or	-	none	!	-	-	-	foreign	-
-	os	-	none	!	-	-	-	foreign	-
-	pour	-	none	!	-	-	-	foreign	-
-	på	-	none	-	-	-	-	foreign	-
-	san	-	none	!	-	-	-	foreign	-
-	sin	-	none	!	-	-	-	foreign	-
-	sine	-	none	!	-	-	-	foreign	-
-	than	-	none	!	-	-	-	foreign	-
-	the	-	none	!	-	-	-	foreign	-
-	till	-	none	!	-	-	-	foreign	-
-	und	-	none	!	-	-	-	foreign	-
-	under	-	none	-	-	-	-	foreign	-
-	up	-	none	!	-	-	-	foreign	-
-	van	-	none	!	-	-	-	foreign	-
-	via	-	none	!	-	-	-	foreign	-
-	von	-	none	!	-	-	-	foreign	-
-	were	-	none	-	-	-	-	foreign	-
-	with	-	none	!	-	-	-	foreign	-
-	your	-	none	!	-	-	-	foreign	-
-	zu	-	none	-	-	-	-	foreign	-
-	zum	-	none	-	-	-	-	foreign	-
-	zur	-	none	-	-	-	-	foreign	-
-	åt	-	none	!	-	-	-	foreign	-
-	öfver	-	none	-	-	-	-	foreign	-
-	över	-	none	-	-	-	-	foreign	-
-	AC	-	noun	?18B	-	-	-	foreign	-
-	About	-	noun	5	-	-	-	foreign	-
-	Academy	-	noun	1	-	-	-	foreign	-
-	Act	-	noun	5	-	-	-	foreign	-
-	Action	-	noun	6	-	-	-	foreign	-
-	Administration	-	noun	5	-	-	-	foreign	-
-	Adventure	-	noun	8	-	-	-	foreign	-
-	Adventures	-	noun	5	-	-	-	foreign	-
-	Affair	-	noun	5	-	-	-	foreign	-
-	Affairs	-	noun	5	-	-	-	foreign	-
-	Africa	-	noun	13	-	-	-	foreign	-
-	African	-	noun	6	-	-	-	foreign	-
-	After	-	noun	6	-	-	-	foreign	-
