-	dedikaatio	-	noun	3	-	-	-	-	-
-	deesi	-	noun	5	-	-	-	-	-
-	defensiivi	-	noun	5	-	-	-	-	-
-	deflatointi	-	noun	5	nt:nn	-	-	-	-
-	degranulaatio	-	noun	3	-	-	-	-	-
-	dehydratointi	-	noun	5	nt:nn	-	-	-	-
-	dekompositio	-	noun	3	-	-	-	-	-
-	dematerialisaatio	-	noun	3	-	-	-	-	-
-	demenssi	-	noun	5	-	-	-	-	-
-	demiromanttisuus	-	noun	40	-	-	-	-	-
-	demonstraattori	-	noun	6	-	-	-	-	-
-	demoralisaatio	-	noun	3	-	-	-	-	-
-	demyelinisaatio	-	noun	3	-	-	-	-	-
-	denervaatio	-	noun	3	-	-	-	-	-
-	denominaali	-	noun	5	-	-	-	-	-
-	deportaatio	-	noun	3	-	-	-	-	-
-	depravaatio	-	noun	3	-	-	-	-	-
-	dermatofibrosarkooma	-	noun	10	-	-	-	-	-
-	desendentti	-	noun	5	tt:t	-	-	-	-
-	desilluusio	-	noun	3	-	-	-	-	-
-	desperaatio	-	noun	3	-	-	-	-	-
-	destillaatio	-	noun	3	-	-	-	-	-
-	destillaatti	-	noun	5	tt:t	-	-	-	-
-	destinaatio	-	noun	3	-	-	-	-	-
-	detektiivi	-	noun	5	-	-	-	-	-
-	determinaatio	-	noun	3	-	-	-	-	-
-	detransitio	-	noun	3	-	-	-	-	-
-	diadokokineesi	-	noun	5	-	front|back	-	-	-
-	diadokokinesia	-	noun	12	-	-	-	-	-
-	dialektologi	-	noun	5	-	-	-	-	-
-	dialysaattori	-	noun	6	-	-	-	-	-
-	dibetsoksatsepiini	-	noun	5	-	-	-	-	-
-	dietyyliamiinisalisylaatti	-	noun	5	tt:t	-	-	-	-
-	difenyylibutyylipiperidiini	-	noun	5	-	-	-	-	-
-	digrammi	-	noun	5	-	-	-	-	-
-	dihydroergotamiini	-	noun	5	-	-	-	-	-
-	dihydroergotamiinimesilaatti	-	noun	5	tt:t	-	-	-	-
-	dilaatio	-	noun	3	-	-	-	-	-
-	dimetyyliserotoniini	-	noun	5	-	-	-	-	-
-	diplofaasi	-	noun	5	-	-	-	-	-
-	disipliini	-	noun	5	-	-	-	-	-
-	dispensaatio	-	noun	3	-	-	-	-	-
-	dissekaatio	-	noun	3	-	-	-	-	-
-	dissekoituminen	-	noun	38	-	-	-	-	-
-	dissimilaatio	-	noun	3	-	-	-	-	-
-	dissosaatio	-	noun	3	-	-	-	-	-
-	donaatio	-	noun	3	-	-	-	-	-
-	duktografia	-	noun	12	-	-	-	-	-
-	duodenoskooppi	-	noun	5	pp:p	-	-	-	-
-	dysfonia	-	noun	12	-	-	-	-	-
-	dysgerminooma	-	noun	10	-	-	-	-	-
-	dysgnosia	-	noun	12	-	-	-	-	-
-	dysmorfofobia	-	noun	12	-	-	-	-	-
-	dyssymbioosi	-	noun	5	-	-	-	-	-
-	eburnaatio	-	noun	3	-	-	-	-	-
-	egalitaari	-	noun	5	-	-	-	-	-
-	egopatia	-	noun	12	-	-	-	-	-
-	egotismi	-	noun	5	-	-	-	-	-
-	ekofrasia	-	noun	12	-	-	-	-	-
-	ekopatia	-	noun	12	-	-	-	-	-
-	ekopraksia	-	noun	12	-	-	-	-	-
-	eksekuutio	-	noun	3	-	-	-	-	-
-	eksellenssi	-	noun	5	-	-	-	-	-
-	ekshibitio	-	noun	3	-	-	-	-	-
-	eksitaatio	-	noun	3	-	-	-	-	-
-	ekskavaattori	-	noun	6	-	-	-	-	-
-	ekskiisio	-	noun	3	-	-	-	-	-
-	ekskisio	-	noun	3	-	-	-	-	-
-	eksklamaatio	-	noun	3	-	-	-	-	-
-	ekskoriaatio	-	noun	3	-	-	-	-	-
-	ekskrementti	-	noun	5	tt:t	-	-	-	-
-	ekspediitti	-	noun	5	tt:t	-	-	-	-
-	ekspediointi	-	noun	5	nt:nn	-	-	-	-
-	ekspeditio	-	noun	3	-	-	-	-	-
-	eksperimentaatio	-	noun	3	-	-	-	-	-
-	eksperimentti	-	noun	5	tt:t	-	-	-	-
-	ekspiraatio	-	noun	3	-	-	-	-	-
-	eksplanaatio	-	noun	3	-	-	-	-	-
-	eksplisiitti	-	noun	5	tt:t	-	-	-	-
-	eksploataatio	-	noun	3	-	-	-	-	-
-	eksploraatio	-	noun	3	-	-	-	-	-
-	eksploraattori	-	noun	6	-	-	-	-	-
-	ekspositio	-	noun	3	-	-	-	-	-
-	ekspressiviteetti	-	noun	5	tt:t	-	-	-	-
-	ekspropriaatio	-	noun	3	-	-	-	-	-
-	ekstensiteetti	-	noun	5	tt:t	-	-	-	-
-	eksteriorisaatio	-	noun	3	-	-	-	-	-
-	eksterritoriaalisuus	-	noun	40	-	-	-	-	-
-	ekstirpaatio	-	noun	3	-	-	-	-	-
-	ekstraditio	-	noun	3	-	-	-	-	-
-	ekstravasaatio	-	noun	3	-	-	-	-	-
-	ekstremiteetti	-	noun	5	tt:t	-	-	-	-
-	ekvipollenssi	-	noun	5	-	-	-	-	-
-	elektoraatti	-	noun	5	tt:t	-	-	-	-
-	elsassilainen	-	noun	38	-	-	-	-	-
-	emfaasi	-	noun	5	-	-	-	-	-
-	endarteriektomia	-	noun	12	-	-	-	-	-
-	enigmatologia	-	noun	12	-	-	-	-	-
-	enoksapariini	-	noun	5	-	-	-	-	-
-	enosimania	-	noun	12	-	-	-	-	-
-	enosiofobia	-	noun	12	-	-	-	-	-
-	enterologia	-	noun	12	-	-	-	-	-
-	entesiitti	-	noun	5	tt:t	-	-	-	-
-	enumeraatio	-	noun	3	-	-	-	-	-
-	environmentalismi	-	noun	5	-	-	-	-	-
-	epenteesi	-	noun	5	-	-	-	-	-
-	epididymiitti	-	noun	5	tt:t	-	-	-	-
-	episkopaatti	-	noun	5	tt:t	-	-	-	-
-	epistemologi	-	noun	5	-	-	-	-	-
-	ergasiatria	-	noun	12	-	-	-	-	-
-	ergomania	-	noun	12	-	-	-	-	-
-	ergotamiinitartraatti	-	noun	5	tt:t	-	-	-	-
-	eristäminen	-	noun	38	-	-	-	-	-
-	erotofobia	-	noun	12	-	-	-	-	-
-	erotogeneesi	-	noun	5	-	front|back	-	-	-
-	erotografomania	-	noun	12	-	-	-	-	-
-	erotolalia	-	noun	12	-	-	-	-	-
-	erotopatia	-	noun	12	-	-	-	-	-
-	esofagoskopia	-	noun	12	-	-	-	-	-
-	estesiologia	-	noun	12	-	-	-	-	-
-	eteläsavolainen	-	adjective	38	-	-	-	-	-
-	etiopatogeneesi	-	noun	5	-	front|back	-	-	-
-	eubiotiikka	-	noun	9	kk:k	-	-	-	-
-	eudaimonisti	-	noun	5	-	-	-	-	-
-	euforisoiva	-	adjective	10	-	-	-	-	-
-	eulogia	-	noun	12	-	-	-	-	-
-	eurotofobia	-	noun	12	-	-	-	-	-
-	eutyreoosi	-	noun	5	-	-	-	-	-
-	evakuaatio	-	noun	3	-	-	-	-	-
