-	Android	-	proper	5	-	-	-	-	-
-	BSD	-	proper	18B	-	-	-	-	-
-	DOS	-	proper	5B|10B	-	-	-	-	-
-	Debian	-	proper	5	-	-	-	-	-
-	Fire OS	-	proper	10B	-	-	-	-	-
-	FreeBSD	-	proper	18B	-	-	-	-	-
-	Linux	-	proper	5	-	-	-	-	-
-	NetBSD	-	proper	18B	-	-	-	-	-
-	OS/2	-	proper	31B	-	-	-	-	-
-	OpenBSD	-	proper	18B	-	-	-	-	-
-	Ubuntu	-	proper	1	-	-	-	-	-
-	Unix	-	proper	5	-	-	-	-	-
-	Windows	-	proper	5	-	-	-	-	-
-	iOS	-	proper	10B	-	-	-	-	-
-	macOS	-	proper	10B	-	-	-	-	-
Any	OS	-	proper	10B	-	-	-	-	4.000
