-	Laaja|lahti	-	proper	7	t:d	-	-	-	-
-	Laaja|salo	-	proper	1	-	-	-	-	-
-	Laaja|vuori	-	proper	26	-	-	-	-	-
-	Laakso|lahti	-	proper	7	t:d	-	-	-	-
-	Lautta|saari	-	proper	26	-	-	-	-	-
-	Lehti|saari	-	proper	26	-	-	-	-	-
-	Liina|harja	-	proper	9	-	-	-	-	-
-	Linnain|maa	-	proper	18	-	-	-	-	-
-	Linnan|maa	-	proper	18	-	-	-	-	-
-	Lintu|vaara	-	proper	9	-	-	-	-	-
-	Lukon|mäki	-	proper	7	k:	-	-	-	-
-	Länsi|mäki	-	proper	7	k:	-	-	-	-
-	Marja|niemi	-	proper	25	-	-	-	-	-
-	Matin|kylä	-	proper	10	-	-	-	-	-
-	Mei|lahti	-	proper	7	t:d	-	-	-	-
-	Mellun|mäki	-	proper	7	k:	-	-	-	-
-	Munkki|niemi	-	proper	25	-	-	-	-	-
-	Munkki|vuori	-	proper	26	-	-	-	-	-
-	Mylly|järvi	-	proper	7	-	-	-	-	-
-	Mylly|puro	-	proper	1	-	-	-	-	-
-	Myyr|mäki	-	proper	7	k:	-	-	-	-
-	Mänty|mäki	-	proper	7	k:	-	-	-	-
-	Niitty|kumpu	-	proper	1	mp:mm	-	-	-	-
-	Ota|niemi	-	proper	25	-	-	-	-	-
-	Oulun|kylä	-	proper	10	-	-	-	-	-
-	Paja|mäki	-	proper	7	k:	-	-	-	-
-	Palo|heinä	-	proper	10	-	-	-	-	-
-	Palo|saari	-	proper	26	-	-	-	-	-
-	Pihlaja|mäki	-	proper	7	k:	-	-	-	-
-	Pitäjän|mäki	-	proper	7	k:	-	-	-	-
-	Puijon|laakso	-	proper	1	-	-	-	-	-
-	Pukin|mäki	-	proper	7	k:	-	-	-	-
-	Puna|vuori	-	proper	26	-	-	-	-	-
-	Puotin|harju	-	proper	1	-	-	-	-	-
-	Pääskys|mäki	-	proper	7	k:	-	-	-	-
-	Pääsky|vuori	-	proper	26	-	-	-	-	-
-	Ranta|perkiö	-	proper	3	-	-	-	-	-
-	Repo|saari	-	proper	26	-	-	-	-	-
-	Risti|kivi	-	proper	7	-	-	-	-	-
-	Riston|maa	-	proper	18	-	-	-	-	-
-	Roihu|vuori	-	proper	26	-	-	-	-	-
-	Ruoho|lahti	-	proper	7	t:d	-	-	-	-
-	Ruskea|santa	-	proper	9	nt:nn	-	-	-	-
-	Ruskea|suo	-	proper	19	-	-	-	-	-
-	Salmi|saari	-	proper	26	-	-	-	-	-
-	Salpaus|selkä	-	proper	10	k:	-	-	-	-
-	Santa|hamina	-	proper	13	-	-	-	-	-
-	Silta|mäki	-	proper	7	k:	-	-	-	-
