-	Lodur	-	proper	5	-	-	-	-	-
-	Loki	-	proper	5	-	-	-	-	-
-	Maat	-	proper	5	-	-	-	-	-
-	Mahadeva	-	proper	10|12	-	-	-	-	-
-	Manat	-	proper	5	-	-	-	-	-
-	Marduk	-	proper	5	-	-	-	-	-
-	Mars	-	proper	5	-	-	-	-	-
-	Mercurius	-	proper	39|5	-	-	-	-	-
-	Mielikki	-	proper	5	kk:k	-	-	-	-
-	Min	-	proper	5	-	-	-	-	-
-	Minerva	-	proper	9	-	-	-	-	-
-	Mixcoatl	-	proper	5	-	-	-	-	-
-	Mnemosyne	-	proper	8	-	-	-	-	-
-	Morfeus	-	proper	39|5	-	-	-	-	-
-	Mut	-	proper	5	-	-	-	-	-
-	Nemesis	-	proper	39|5	-	-	-	-	-
-	Neper	-	proper	6	-	-	-	-	-
-	Nike	-	proper	8	-	-	-	-	-
-	Njord	-	proper	5	-	-	-	-	-
-	Njordr	-	proper	5	-	-	-	-	-
-	Notos	-	proper	39|5	-	-	-	-	-
-	Nun	-	proper	5	-	-	-	-	-
-	Nut	-	proper	5	-	-	-	-	-
-	Nyks	-	proper	5	-	-	-	-	-
-	Odin	-	proper	5	-	-	-	-	-
-	Okeanos	-	proper	39|5	-	-	-	-	-
-	Ormuzd	-	proper	5	-	-	-	-	-
-	Osiris	-	proper	39|5	-	-	-	-	-
-	Ostara	-	proper	13	-	-	-	-	-
-	Pan	-	proper	5	-	-	-	-	-
-	Parvati	-	proper	5	-	-	-	-	-
-	Perkele	-	proper	8	-	-	-	-	-
-	Persefone	-	proper	8	-	-	-	-	-
-	Pluto	-	proper	1	-	-	-	-	-
-	Poseidon	-	proper	6	-	-	-	-	-
-	Prithvi	-	proper	5	-	-	-	-	-
-	Prometheus	-	proper	39|5	-	-	-	-	-
-	Ptah	-	proper	5	-	-	-	-	-
-	Quetzalcoatl	-	proper	5	-	-	-	-	-
-	Ra	-	proper	21	-	-	-	-	-
-	Radha	-	proper	9	-	-	-	-	-
-	Raijin	-	proper	5	-	-	-	-	-
-	Rama	-	proper	9	-	-	-	-	-
-	Rhea	-	proper	9	-	-	-	-	-
-	Ryūjin	-	proper	5	-	-	-	-	-
-	Saatana	-	proper	12	-	-	-	-	-
-	Sarasvati	-	proper	5	-	-	-	-	-
-	Saturnus	-	proper	39|5	-	-	-	-	-
-	Sekhmet	-	proper	5	-	-	-	-	-
-	Selene	-	proper	8	-	-	-	-	-
-	Sesat	-	proper	5	-	-	-	-	-
-	Set	-	proper	5	-	-	-	-	-
-	Setekh	-	proper	5	-	-	-	-	-
-	Seth	-	proper	5	-	-	-	-	-
-	Shangdi	-	proper	5	-	-	-	-	-
-	Sin	-	proper	5	-	-	-	-	-
-	Sita	-	proper	9	-	-	-	-	-
-	Skadi	-	proper	5	-	-	-	-	-
-	Suijin	-	proper	5	-	-	-	-	-
-	Surya	-	proper	12	-	-	-	-	-
-	Susanoo	-	proper	17	-	-	-	-	-
-	Tammuz	-	proper	5	-	-	-	-	-
-	Tapio	-	proper	3	-	-	-	-	-
-	Tengri	-	proper	5	-	-	-	-	-
-	Tethys	-	proper	39|5	-	-	-	-	-
-	Thanatos	-	proper	39|5	-	-	-	-	-
-	Theia	-	proper	9	-	-	-	-	-
-	Themis	-	proper	39|5	-	-	-	-	-
-	Thor	-	proper	5	-	-	-	-	-
-	Thot	-	proper	5	-	-	-	-	-
-	Tiamat	-	proper	5	-	-	-	-	-
-	Tian	-	proper	5	-	-	-	-	-
-	Tor	-	proper	5	-	-	-	-	-
-	Tsukiyomi	-	proper	5	-	-	-	-	-
-	Tsukuyomi	-	proper	5	-	-	-	-	-
-	Tykhe	-	proper	21|8	-	-	-	-	-
-	Tyr	-	proper	5	-	-	-	-	-
-	Ukko	-	proper	1	kk:k	-	-	-	-
-	Uranos	-	proper	39|5	-	-	-	-	-
-	Varuna	-	proper	12	-	-	-	-	-
-	Venus	-	proper	39|5	-	-	-	-	-
-	Vesta	-	proper	9	-	-	-	-	-
-	Victoria	-	proper	12	-	-	-	-	-
-	Vishnu	-	proper	1	-	-	-	-	-
-	Višnu	-	proper	1	-	-	-	-	-
-	Xolotl	-	proper	5	-	-	-	-	-
-	Zefyros	-	proper	39|5	-	-	-	-	-
-	Zeus	-	proper	39|5	-	-	-	-	-
-	Šiva	-	proper	9	-	-	-	-	-
-	Amon-Ra	-	proper	21	-	-	-	-	-
-	al-Lat	-	proper	5	-	-	-	-	-
-	al-Uzza	-	proper	10	-	-	-	-	-
