-	Keskus|kauppa|kamari	-	proper	6	-	-	-	-	-
-	Maahan|muutto|virasto	-	proper	1	-	-	-	-	-
-	Maan|mittaus|laitos	-	proper	39	-	-	-	-	-
-	Meren|kulku|laitos	-	proper	39	-	-	-	-	-
-	Muslimi|veljes|kunta	-	proper	10	nt:nn	-	-	-	-
-	Oikeus|kanslerin|virasto	-	proper	1	-	-	-	-	-
-	Oikeus|rekisteri|keskus	-	proper	39	-	-	-	-	-
-	Reservi|upseeri|koulu	-	proper	1	-	-	-	-	-
-	Rikos|seuraamus|laitos	-	proper	39	-	-	-	-	-
-	Suur|peto|keskus	-	proper	39	-	-	-	-	-
-	Tie|liikenne|keskus	-	proper	39	-	-	-	-	-
-	Ulko|maalais|virasto	-	proper	1	-	-	-	-	-
-	Elin|tarvike|turvallisuus|virasto	-	proper	1	-	-	-	-	-
-	Valta|kunnan|syyttäjän|virasto	-	proper	1	-	-	-	-	-
Cap	bund	-	proper	5	-	-	-	-	4.000
Cap	byrån	-	proper	5	-	back	-	-	4.000
Cap	central	-	proper	5	-	-	-	-	4.000
Cap	centralen	-	proper	6	-	-	-	-	4.000
Cap	dienst	-	proper	5	-	front|back	-	-	4.000
Cap	föreningen	-	proper	6	-	-	-	-	4.000
Cap	klubb	-	proper	5	-	-	-	-	4.000
Cap	klubben	-	proper	6	-	-	-	-	4.000
Cap	polisen	-	proper	6	-	-	-	-	4.000
Cap	polizei	-	proper	18	-	-	-	-	4.000
Cap	schutz	-	proper	5	-	-	-	-	4.000
Cap	tjänst	-	proper	5	-	-	-	-	4.000
Cap	tjänsten	-	proper	6	-	-	-	-	4.000
Cap	verket	-	proper	5	-	front|back	-	-	4.000
