-	ESWC	-	proper	18B	-	-	-	-	-
-	Mestis	-	proper	39	-	-	-	coll	-
-	MotoGP	-	proper	18B	-	-	-	-	-
-	PGA Tour	-	proper	5	-	-	-	-	-
-	Super Bowl	-	proper	5	-	-	-	-	-
-	U.S. Open	-	proper	6	-	-	-	-	-
-	UEFA Super Cup	-	proper	5	-	-	-	-	-
-	US Open	-	proper	6	-	-	-	-	-
-	Wimbledon	-	proper	5	-	-	-	-	-
-	Ärrä-Cup	-	proper	5	-	-	-	-	-
