-	Sleesia	-	proper	12	-	-	-	-	-
-	Thar	-	proper	5	-	-	-	-	-
-	Tiibet	-	proper	5	-	-	-	-	-
-	Tiroli	-	proper	5	-	-	-	-	-
-	Traakia	-	proper	12	-	-	-	-	-
-	Transilvania	-	proper	12	-	-	-	-	-
-	Transkaukasia	-	proper	12	-	-	-	-	-
-	Transnistria	-	proper	12	-	-	-	-	-
-	Turkestan	-	proper	5	-	-	-	-	-
-	Ussuri	-	proper	6	-	-	-	-	-
-	Valamo	-	proper	2	-	-	-	-	-
-	Vallonia	-	proper	12	-	-	-	-	-
-	Vinland	-	proper	5	-	-	-	-	-
-	Yunnan	-	proper	6	-	-	-	-	-
-	Etelä-Aasia	-	proper	12	-	-	-	-	-
-	Etelä-Afrikka	-	proper	14	kk:k	-	-	-	-
-	Etelä-Amerikka	-	proper	14	kk:k	-	-	-	-
-	Etelä-Eurooppa	-	proper	10	pp:p	-	-	-	-
-	Etelä-Ossetia	-	proper	12	-	-	-	-	-
-	Etu-Aasia	-	proper	12	-	-	-	-	-
-	Itä-Aasia	-	proper	12	-	-	-	-	-
-	Itä-Afrikka	-	proper	14	kk:k	-	-	-	-
-	Itä-Eurooppa	-	proper	10	pp:p	-	-	-	-
-	Itä-Savo	-	proper	1	-	-	-	-	-
-	Järvi-Suomi	-	proper	7	-	-	-	-	-
-	Kaakkois-Aasia	-	proper	12	-	-	-	-	-
-	Kaakkois-Suomi	-	proper	7	-	-	-	-	-
-	Kanta-Häme	-	proper	48	-	-	-	-	-
-	Keski-Aasia	-	proper	12	-	-	-	-	-
-	Keski-Afrikka	-	proper	14	kk:k	-	-	-	-
-	Keski-Amerikka	-	proper	14	kk:k	-	-	-	-
-	Keski-Eurooppa	-	proper	10	pp:p	-	-	-	-
-	Keski-itä	-	proper	10	-	-	-	-	-
-	Lounais-Afrikka	-	proper	14	kk:k	-	-	-	-
-	Lähi-itä	-	proper	10	t:d	-	-	-	-
-	Länsi-Afrikka	-	proper	14	kk:k	-	-	-	-
-	Länsi-Balkan	-	proper	6	-	-	-	-	-
-	Länsi-Eurooppa	-	proper	10	pp:p	-	-	-	-
-	Länsi-Sahara	-	proper	12	-	-	-	-	-
-	Pohjois-Aasia	-	proper	12	-	-	-	-	-
-	Pohjois-Afrikka	-	proper	14	kk:k	-	-	-	-
-	Pohjois-Amerikka	-	proper	14	kk:k	-	-	-	-
-	Pohjois-Eurooppa	-	proper	10	pp:p	-	-	-	-
-	Raja-Karjala	-	proper	12	-	-	-	-	-
-	Suur-Savo	-	proper	1	-	-	-	-	-
-	Suur-Suomi	-	proper	7	-	-	-	-	-
-	Taka-Intia	-	proper	12	-	-	-	-	-
-	Tunturi-Lappi	-	proper	5	pp:p	-	-	-	-
-	Vaara-Karjala	-	proper	12	-	-	-	-	-
-	Vakka-Suomi	-	proper	7	-	-	-	-	-
-	Vuoristo-Karabah	-	proper	5	-	-	-	-	-
-	Vähä-Aasia	-	proper	12	-	-	-	-	-
-	Väli-Amerikka	-	proper	14	kk:k	-	-	-	-
-	Ylä-Saksa	-	proper	9	-	-	-	-	-
-	Ylä-Savo	-	proper	1	-	-	-	-	-
-	Dasht-e-Kavir	-	proper	5	-	-	-	-	-
-	Arnheimin|maa	-	proper	18	-	-	-	-	-
-	Aurinko|rannikko	-	proper	4	kk:k	-	-	-	-
-	Coromandel|rannikko	-	proper	4	kk:k	-	-	-	-
-	Gondwana|manner	-	proper	49	nt:nn	-	-	-	-
-	Götan|maa	-	proper	18	-	-	-	-	-
-	Hanko|niemi	-	proper	25	-	-	-	-	-
-	Indo|kiina	-	proper	9	-	-	-	-	-
-	Kap|maa	-	proper	18	-	-	-	-	-
-	Kauko|itä	-	proper	10	t:d	-	-	-	-
-	Keski|länsi	-	proper	28	nt:nn	-	-	-	-
-	Kuurin|maa	-	proper	18	-	-	-	-	-
-	Käsi|varsi	-	proper	28	rt:rr	-	-	-	-
-	Liivin|maa	-	proper	18	-	-	-	-	-
-	Länsi|ranta	-	proper	9	nt:nn	-	-	-	-
-	Moskiitto|rannikko	-	proper	4	kk:k	-	-	-	-
-	Perä|pohjola	-	proper	12	-	-	-	-	-
-	Pii|laakso	-	proper	1	-	-	-	-	-
-	Porkkalan|niemi	-	proper	25	-	-	-	-	-
-	Rova|järvi	-	proper	7	-	-	-	-	-
-	Sudeetti|maa	-	proper	18	-	-	-	-	-
-	Svean|maa	-	proper	18	-	-	-	-	-
-	Etelä-Kymen|laakso	-	proper	1	-	-	-	-	-
-	Kaksois|virran|maa	-	proper	18	-	-	-	-	-
-	Benelux-maat	-	proper-pl	18	-	-	-	-	-
-	Pohjois|maat	-	proper-pl	18	-	-	-	-	-
