-	Kallimakhos	-	proper	39	-	-	-	-	-
-	Kaloriina	-	proper	9	-	-	-	-	-
-	Karađorđe	-	proper	8	-	-	-	-	-
-	Ke$ha	-	proper	9	-	-	-	-	-
-	Kesha	-	proper	9	-	-	-	-	-
-	Kikka	-	proper	9	kk:k	-	-	-	-
-	Kirby	-	proper	1	-	-	-	-	-
-	Kirka	-	proper	9	-	-	-	-	-
-	Kleopatra	-	proper	9	-	-	-	-	-
-	Kolumbus	-	proper	39	-	-	-	-	-
-	Konfutse	-	proper	8	-	-	-	-	-
-	Konstantinus	-	proper	39	-	-	-	-	-
-	Kopernikus	-	proper	39	-	-	-	-	-
-	Krampus	-	proper	39	-	-	-	-	-
-	Kratinos	-	proper	39	-	-	-	-	-
-	Kristus	-	proper	39	-	-	-	-	-
-	Ksenofon	-	proper	?6	-	-	-	-	-
-	Kserkses	-	proper	39|5	-	-	-	-	-
-	Kungfutse	-	proper	8	-	-	-	-	-
-	Kyyros	-	proper	1S	-	-	-	-	-
-	Kyyros	-	proper	39|†5	-	-	-	-	-
-	Käärijä	-	proper	12	-	-	-	-	-
-	Lady Gaga	-	proper	9	-	-	-	-	-
-	Lalli	-	proper	5	-	-	-	-	-
-	Legolas	-	proper	5|39	-	-	-	-	-
-	Lemminkäinen	-	proper	38	-	-	-	-	-
-	Leukippos	-	proper	1S	-	-	-	-	-
-	Leukippos	-	proper	39|†5	-	-	-	-	-
-	Lil Wayne	-	proper	8	-	-	-	-	-
-	Link	-	proper	5	-	-	-	-	-
-	Loreen	-	proper	5	-	-	-	-	-
-	Louhi	-	proper	5	-	-	-	-	-
-	Lucifer	-	proper	5	-	-	-	-	-
-	Lucretius	-	proper	39	-	-	-	-	-
-	Luffy	-	proper	1	-	-	-	-	-
-	Lumikki	-	proper	5	kk:k	-	-	-	-
-	Madde	-	proper	8	-	-	-	-	-
-	Madonna	-	proper	10|12	-	-	-	-	-
-	Maimonides	-	proper	39|41	-	-	-	-	-
-	Markiplier	-	proper	6	-	-	-	-	-
-	Marshmello	-	proper	1	-	-	-	-	-
-	MatPat	-	proper	5	-	-	-	-	-
-	Matteus	-	proper	39	-	-	-	-	-
-	Megatron	-	proper	5	-	-	-	-	-
-	Merlin	-	proper	5	-	-	-	-	-
-	Messias	-	proper	39	-	-	-	-	-
-	Mietaa	-	proper	20	-	-	-	-	-
-	Minos	-	proper	39|5	-	-	-	-	-
