-	Teno|joki	-	proper	7	k:	-	-	-	-
-	Tiber|joki	-	proper	7	k:	-	-	-	-
-	Tornion|joki	-	proper	7	k:	-	-	-	-
-	Tyrnävän|joki	-	proper	7	k:	-	-	-	-
-	Ural|joki	-	proper	7	k:	-	-	-	-
-	Uumajan|joki	-	proper	7	k:	-	-	-	-
-	Vantaan|joki	-	proper	7	k:	-	-	-	-
-	Vienan|joki	-	proper	7	k:	-	-	-	-
-	Väinä|joki	-	proper	7	k:	-	-	-	-
-	Yellowstone|joki	-	proper	7	k:	-	-	-	-
-	Keltainen%joki	-	proper	7	k:	-	-	-	-
-	Punainen%joki	-	proper	7	k:	-	-	-	-
-	Sininen%-Niili	-	proper	5	-	-	-	-	-
-	Valkoinen%-Niili	-	proper	5	-	-	-	-	-
Cap	n|joki	-	proper	7	k:	-	-	-	4.500
Cap	n|virta	-	proper	9	rt:rr	-	-	-	4.500
