-	Alistair	-	proper	5	-	-	-	-	-
-	Alister	-	proper	5	-	-	-	-	-
-	Aljaksandr	-	proper	5	-	-	-	-	-
-	Aljaksei	-	proper	18	-	-	-	-	-
-	Aljaž	-	proper	5	-	-	-	-	-
-	Aljona	-	proper	10	-	-	-	-	-
-	Alla	-	proper	9	-	-	-	-	-
-	Allan	-	proper	6	-	-	-	-	-
-	Alli	-	proper	5	-	-	-	-	-
-	Allison	-	proper	6	-	-	-	-	-
-	Alma	-	proper	9	-	-	-	-	-
-	Alois	-	proper	22|?5	-	-	-	-	-
-	Alonso	-	proper	1	-	-	-	-	-
-	Alphonse	-	proper	8	-	-	-	-	-
-	Alpo	-	proper	1	-	-	-	-	-
-	Altin	-	proper	5	-	-	-	-	-
-	Altti	-	proper	5	tt:t	-	-	-	-
-	Alvar	-	proper	6	-	-	-	-	-
-	Alvari	-	proper	6	-	-	-	-	-
-	Amalie	-	proper	8|21	-	-	-	-	-
-	Amanda	-	proper	9	-	-	-	-	-
-	Amandine	-	proper	8	-	-	-	-	-
-	Amaury	-	proper	1	-	-	-	-	-
-	Ambrogio	-	proper	3	-	-	-	-	-
-	Amedeo	-	proper	3	-	-	-	-	-
-	Ami	-	proper	5	-	-	-	-	-
-	Amin	-	proper	5	-	-	-	-	-
-	Amund	-	proper	5	-	-	-	-	-
-	Amy	-	proper	1	-	-	-	-	-
-	Amélie	-	proper	8|21	-	-	-	-	-
-	Ana	-	proper	9	-	-	-	-	-
-	Anastasia	-	proper	12	-	-	-	-	-
-	Anastasija	-	proper	12	-	-	-	-	-
-	Anastassia	-	proper	12	-	-	-	-	-
-	Anatoli	-	proper	6	-	-	-	-	-
-	Anaïs	-	proper	22|?5	-	-	-	-	-
-	Anca	-	proper	9	-	-	-	-	-
-	Ander	-	proper	6	-	-	-	-	-
-	Anders	-	proper	5	-	-	-	-	-
-	Andoni	-	proper	?6	-	-	-	-	-
-	Andraž	-	proper	5	-	-	-	-	-
