-	Guernica	-	proper	9	-	-	-	-	-
-	Havis Amanda	-	proper	9	-	-	-	-	-
-	Huuto	-	proper	1	-	-	-	-	-
-	Manta	-	proper	9	-	-	-	coll	-
-	Mona Lisa	-	proper	9	-	-	-	-	-
-	Pietà	-	proper	?21	-	-	-	-	-
