-	DK	-	none	-	-	-	-	symbol	-
-	DM	-	none	-	-	-	-	symbol	-
-	DMA	-	none	-	-	-	-	symbol	-
-	DNK	-	none	-	-	-	-	symbol	-
-	DO	-	none	-	-	-	-	symbol	-
-	DOM	-	none	-	-	-	-	symbol	-
-	DZ	-	none	-	-	-	-	symbol	-
-	DZA	-	none	-	-	-	-	symbol	-
-	EC	-	none	-	-	-	-	symbol	-
-	ECU	-	none	-	-	-	-	symbol	-
-	EE	-	none	-	-	-	-	symbol	-
-	EG	-	none	-	-	-	-	symbol	-
-	EGY	-	none	-	-	-	-	symbol	-
-	EH	-	none	-	-	-	-	symbol	-
-	ER	-	none	-	-	-	-	symbol	-
-	ERI	-	none	-	-	-	-	symbol	-
-	ES	-	none	-	-	-	-	symbol	-
-	ESH	-	none	-	-	-	-	symbol	-
-	ESP	-	none	-	-	-	-	symbol	-
-	EST	-	none	-	-	-	-	symbol	-
-	ET	-	none	-	-	-	-	symbol	-
-	ETH	-	none	-	-	-	-	symbol	-
-	FI	-	none	-	-	-	-	symbol	-
-	FIN	-	none	-	-	-	-	symbol	-
-	FJ	-	none	-	-	-	-	symbol	-
-	FJI	-	none	-	-	-	-	symbol	-
-	FK	-	none	-	-	-	-	symbol	-
-	FLK	-	none	-	-	-	-	symbol	-
-	FM	-	none	-	-	-	-	symbol	-
-	FO	-	none	-	-	-	-	symbol	-
-	FR	-	none	-	-	-	-	symbol	-
-	FRA	-	none	-	-	-	-	symbol	-
-	FRO	-	none	-	-	-	-	symbol	-
-	FSM	-	none	-	-	-	-	symbol	-
-	GA	-	none	-	-	-	-	symbol	-
-	GAB	-	none	-	-	-	-	symbol	-
-	GB	-	none	-	-	-	-	symbol	-
-	GBR	-	none	-	-	-	-	symbol	-
-	GD	-	none	-	-	-	-	symbol	-
-	GE	-	none	-	-	-	-	symbol	-
-	GEO	-	none	-	-	-	-	symbol	-
-	GF	-	none	-	-	-	-	symbol	-
-	GG	-	none	-	-	-	-	symbol	-
-	GGY	-	none	-	-	-	-	symbol	-
-	GH	-	none	-	-	-	-	symbol	-
-	GHA	-	none	-	-	-	-	symbol	-
-	GI	-	none	-	-	-	-	symbol	-
-	GIB	-	none	-	-	-	-	symbol	-
-	GIN	-	none	-	-	-	-	symbol	-
-	GL	-	none	-	-	-	-	symbol	-
-	GLP	-	none	-	-	-	-	symbol	-
-	GM	-	none	-	-	-	-	symbol	-
-	GMB	-	none	-	-	-	-	symbol	-
-	GN	-	none	-	-	-	-	symbol	-
-	GNB	-	none	-	-	-	-	symbol	-
-	GNQ	-	none	-	-	-	-	symbol	-
-	GP	-	none	-	-	-	-	symbol	-
-	GQ	-	none	-	-	-	-	symbol	-
-	GR	-	none	-	-	-	-	symbol	-
-	GRC	-	none	-	-	-	-	symbol	-
-	GRD	-	none	-	-	-	-	symbol	-
-	GRL	-	none	-	-	-	-	symbol	-
-	GS	-	none	-	-	-	-	symbol	-
-	GT	-	none	-	-	-	-	symbol	-
-	GTM	-	none	-	-	-	-	symbol	-
-	GU	-	none	-	-	-	-	symbol	-
-	GUF	-	none	-	-	-	-	symbol	-
-	GUM	-	none	-	-	-	-	symbol	-
-	GUY	-	none	-	-	-	-	symbol	-
-	GW	-	none	-	-	-	-	symbol	-
-	GY	-	none	-	-	-	-	symbol	-
-	HK	-	none	-	-	-	-	symbol	-
-	HKG	-	none	-	-	-	-	symbol	-
-	HM	-	none	-	-	-	-	symbol	-
-	HMD	-	none	-	-	-	-	symbol	-
-	HN	-	none	-	-	-	-	symbol	-
-	HND	-	none	-	-	-	-	symbol	-
-	HR	-	none	-	-	-	-	symbol	-
-	HRV	-	none	-	-	-	-	symbol	-
-	HT	-	none	-	-	-	-	symbol	-
-	HTI	-	none	-	-	-	-	symbol	-
-	HU	-	none	-	-	-	-	symbol	-
-	HUN	-	none	-	-	-	-	symbol	-
-	ID	-	none	-	-	-	-	symbol	-
-	IDN	-	none	-	-	-	-	symbol	-
-	IE	-	none	-	-	-	-	symbol	-
-	IL	-	none	-	-	-	-	symbol	-
-	IM	-	none	-	-	-	-	symbol	-
-	IMN	-	none	-	-	-	-	symbol	-
-	IN	-	none	-	-	-	-	symbol	-
-	IND	-	none	-	-	-	-	symbol	-
-	IO	-	none	-	-	-	-	symbol	-
-	IOT	-	none	-	-	-	-	symbol	-
-	IQ	-	none	-	-	-	-	symbol	-
-	IR	-	none	-	-	-	-	symbol	-
-	IRL	-	none	-	-	-	-	symbol	-
-	IRN	-	none	-	-	-	-	symbol	-
-	IRQ	-	none	-	-	-	-	symbol	-
-	IS	-	none	-	-	-	-	symbol	-
-	ISL	-	none	-	-	-	-	symbol	-
-	ISR	-	none	-	-	-	-	symbol	-
-	IT	-	none	-	-	-	-	symbol	-
-	ITA	-	none	-	-	-	-	symbol	-
-	JAM	-	none	-	-	-	-	symbol	-
-	JE	-	none	-	-	-	-	symbol	-
-	JEY	-	none	-	-	-	-	symbol	-
-	JM	-	none	-	-	-	-	symbol	-
-	JO	-	none	-	-	-	-	symbol	-
-	JOR	-	none	-	-	-	-	symbol	-
-	JP	-	none	-	-	-	-	symbol	-
-	JPN	-	none	-	-	-	-	symbol	-
-	KAZ	-	none	-	-	-	-	symbol	-
-	KE	-	none	-	-	-	-	symbol	-
-	KEN	-	none	-	-	-	-	symbol	-
-	KG	-	none	-	-	-	-	symbol	-
-	KGZ	-	none	-	-	-	-	symbol	-
-	KH	-	none	-	-	-	-	symbol	-
-	KHM	-	none	-	-	-	-	symbol	-
-	KI	-	none	-	-	-	-	symbol	-
-	KIR	-	none	-	-	-	-	symbol	-
-	KM	-	none	-	-	-	-	symbol	-
-	KN	-	none	-	-	-	-	symbol	-
-	KNA	-	none	-	-	-	-	symbol	-
-	KOR	-	none	-	-	-	-	symbol	-
-	KP	-	none	-	-	-	-	symbol	-
-	KR	-	none	-	-	-	-	symbol	-
-	KW	-	none	-	-	-	-	symbol	-
-	KWT	-	none	-	-	-	-	symbol	-
-	KY	-	none	-	-	-	-	symbol	-
-	KZ	-	none	-	-	-	-	symbol	-
