-	Amos Rex	-	proper	5	-	-	-	-	-
-	Artsi	-	proper	5	-	-	-	-	-
-	Ateneum	-	proper	5	-	-	-	-	-
-	EMMA	-	proper	10B	-	-	-	-	-
-	Heureka	-	proper	13	-	-	-	-	-
-	Kiasma	-	proper	9	-	-	-	-	-
-	Louvre	-	proper	8	-	-	-	-	-
-	Sea Life	-	proper	8	-	front|back	-	-	-
-	SeaLife	-	proper	8	-	front|back	-	-	-
-	Guggenheim-museo	-	proper	3	-	-	-	-	-
-	Serlachius-museo	-	proper	3	-	-	-	-	-
-	Design|museo	-	proper	3	-	-	-	-	-
-	Kansallis|museo	-	proper	3	-	-	-	-	-
-	Korkea|saari	-	proper	26	-	-	-	-	-
