-	addiktoiva	-	participle	10	-	-	-	+poss	-
-	addiktoiva	-	participle	10	-	-	-	-	-
-	adoptoimaton	-	participle	34	tt:t	-	-	-	-
-	adoptoitava	-	participle	10	-	-	-	+poss	-
-	adoptoitava	-	participle	10	-	-	-	-	-
-	adoptoiva	-	participle	10	-	-	-	-	-
-	adoptoiva	-	participle	10	-	-	-	+poss	-
-	adsorboiduttava	-	participle	10	-	-	-	+poss	-
-	adsorboiduttava	-	participle	10	-	-	-	-	-
-	adsorboimaton	-	participle	34	tt:t	-	-	-	-
-	adsorboitava	-	participle	10	-	-	-	+poss	-
-	adsorboitava	-	participle	10	-	-	-	-	-
-	adsorboitumaton	-	participle	34	tt:t	-	-	-	-
-	adsorboituva	-	participle	10	-	-	-	+poss	-
-	adsorboituva	-	participle	10	-	-	-	-	-
-	adsorboiva	-	participle	10	-	-	-	-	-
-	adsorboiva	-	participle	10	-	-	-	+poss	-
-	aerobikattava	-	participle	10	-	-	-	+poss	-
-	aerobikattava	-	participle	10	-	-	-	-	-
-	aerobikkaamaton	-	participle	34	tt:t	-	-	-	-
-	aerobikkaava	-	participle	10	-	-	-	+poss	-
-	aerobikkaava	-	participle	10	-	-	-	-	-
-	affisioimaton	-	participle	34	tt:t	-	-	-	-
-	affisioitava	-	participle	10	-	-	-	-	-
-	affisioitava	-	participle	10	-	-	-	+poss	-
-	affisioiva	-	participle	10	-	-	-	+poss	-
-	affisioiva	-	participle	10	-	-	-	-	-
-	agitoimaton	-	participle	34	tt:t	-	-	-	-
-	agitoitava	-	participle	10	-	-	-	+poss	-
-	agitoitava	-	participle	10	-	-	-	-	-
-	agitoiva	-	participle	10	-	-	-	-	-
-	agitoiva	-	participle	10	-	-	-	+poss	-
-	ahavoiduttava	-	participle	10	-	-	-	+poss	-
-	ahavoiduttava	-	participle	10	-	-	-	-	-
-	ahavoitettava	-	participle	10	-	-	-	-	-
-	ahavoitettava	-	participle	10	-	-	-	+poss	-
-	ahavoittamaton	-	participle	34	tt:t	-	-	-	-
-	ahavoittava	-	participle	10	-	-	-	+poss	-
-	ahavoittava	-	participle	10	-	-	-	-	-
-	ahavoitumaton	-	participle	34	tt:t	-	-	-	-
-	ahavoituva	-	participle	10	-	-	-	+poss	-
-	ahavoituva	-	participle	10	-	-	-	-	-
-	ahdattava	-	participle	10	-	-	-	-	-
-	ahdattava	-	participle	10	-	-	-	+poss	-
-	ahdettava	-	participle	10	-	-	-	-	-
-	ahdettava	-	participle	10	-	-	-	+poss	-
-	ahdistamaton	-	participle	34	tt:t	-	-	-	-
-	ahdistava	-	participle	10	-	-	-	+poss	-
-	ahdistava	-	participle	10	-	-	-	-	-
-	ahdistelematon	-	participle	34	tt:t	-	-	-	-
-	ahdisteleva	-	participle	10	-	-	-	-	-
-	ahdisteleva	-	participle	10	-	-	-	+poss	-
-	ahdisteltava	-	participle	10	-	-	-	+poss	-
-	ahdisteltava	-	participle	10	-	-	-	-	-
-	ahdistettava	-	participle	10	-	-	-	-	-
-	ahdistettava	-	participle	10	-	-	-	+poss	-
-	ahdistumaton	-	participle	34	tt:t	-	-	-	-
-	ahdistuttava	-	participle	10	-	-	-	-	-
-	ahdistuttava	-	participle	10	-	-	-	+poss	-
-	ahdistuva	-	participle	10	-	-	-	+poss	-
-	ahdistuva	-	participle	10	-	-	-	-	-
-	aherrettava	-	participle	10	-	-	-	-	-
-	aherrettava	-	participle	10	-	-	-	+poss	-
-	ahertamaton	-	participle	34	tt:t	-	-	-	-
-	ahertava	-	participle	10	-	-	-	-	-
-	ahertava	-	participle	10	-	-	-	+poss	-
