# Verbs
.*	hdellä	-	verb	67	t:d	-	-	-	4.000
.*	llistää	-	verb	53	-	-	-	-	3.000
.*	llistaa	-	verb	53	-	-	-	-	3.000
Num	-kertaistaa	-	verb	53	-	-	-	-	3.000
Num	-kertaistua	-	verb	52	-	-	-	-	3.000

# Nouns I
.*	lainen	-	noun	38	-	-	-	-	4.000
.*	läinen	-	noun	38	-	-	-	-	4.000
.*	anssi	-	noun	5	-	-	-	-	4.000
.*	enssi	-	noun	5	-	front|back	-	-	4.000
.*	ttori	-	noun	6	-	-	-	-	4.000
.*	tteri	-	noun	6	-	front|back	-	-	4.000
.*	ttari	-	noun	6	-	-	-	-	4.000
.*	iili	-	noun	6	-	front|back	-	-	4.000
.*	iivi	-	noun	5	-	front|back	-	-	4.000
.*	iini	-	noun	6	-	front|back	-	-	4.000
.*	aani	-	noun	6	-	-	-	-	4.000
.*	eeri	-	noun	6	-	front|back	-	-	4.000
.*	aari	-	noun	6	-	-	-	-	4.000
.*	iiri	-	noun	6	-	front|back	-	-	4.000
.*	iisi	-	noun	5	-	front|back	-	-	4.000
.*	ööri	-	noun	6	-	-	-	-	4.000
.*	ääri	-	noun	6	-	-	-	-	4.000
.*	eesi	-	noun	5	-	front|back	-	-	4.000
.*	uusi	-	noun	5	-	-	-	-	4.000
.*	uuri	-	noun	6	-	-	-	-	4.000
.*	yyri	-	noun	6	-	-	-	-	4.000
.*	oidi	-	noun	5	-	-	-	-	4.000
.*	oodi	-	noun	5	-	-	-	-	4.000
.*	isidi	-	noun	5	-	front|back	-	-	4.000
.*	ioni	-	noun	6	-	-	-	-	5.000
.*	ooma	-	noun	10	-	-	-	-	4.000
.*	yyli	-	noun	6	-	-	-	-	4.000
.*	|niekka	-	noun	9	kk:k	-	-	-	4.000
.*	|mikko	-	noun	1	kk:k	-	-	-	4.000
.*	aaja	-	noun	10	-	-	-	-	4.000
.*	ääjä	-	noun	10	-	-	-	-	4.000
.*	ttaja	-	noun	10	-	-	-	-	4.000
.*	ttäjä	-	noun	10	-	-	-	-	4.000
.*	staja	-	noun	10	-	-	-	-	4.000
.*	stäjä	-	noun	10	-	-	-	-	4.000
.*	oija	-	noun	10	-	-	-	-	4.000
.*	öijä	-	noun	10	-	-	-	-	4.000
.*	ttelija	-	noun	12	-	-	-	-	4.000
.*	ttelijä	-	noun	12	-	-	-	-	4.000
