-	IBM	-	proper	10B	-	-	-	-	-
-	IGN	-	proper	10B	-	-	-	-	-
-	IQM	-	proper	10B	-	-	-	-	-
-	Iceye	-	proper	8	-	-	-	-	-
-	Inderes	-	proper	39|5	-	-	-	-	-
-	Instru	-	proper	1	-	-	-	-	-
-	Instrumentarium	-	proper	5	-	-	-	-	-
-	Intel	-	proper	6	-	-	-	-	-
-	Jet	-	proper	5	-	-	-	-	-
-	Kamux	-	proper	5	-	-	-	-	-
-	Kemira	-	proper	13	-	-	-	-	-
-	Kempower	-	proper	6	-	-	-	-	-
-	Kesko	-	proper	1	-	-	-	-	-
-	Kesla	-	proper	9	-	-	-	-	-
-	Klarna	-	proper	9	-	-	-	-	-
-	Laitala	-	proper	12	-	-	-	-	-
-	Leica	-	proper	9	-	-	-	-	-
-	Lemminkäinen	-	proper	38	-	-	-	-	-
-	Lenovo	-	proper	2	-	-	-	-	-
-	Life	-	proper	8	-	-	-	-	-
-	Lindex	-	proper	5	-	-	-	-	-
-	Lindorff	-	proper	5	-	-	-	-	-
-	Logitech	-	proper	5	-	-	-	-	-
-	Luhta	-	proper	10	-	-	-	-	-
-	Lukoil	-	proper	5	-	-	-	-	-
-	Lumon	-	proper	6	-	-	-	-	-
-	Lush	-	proper	5	-	-	-	-	-
-	M Room	-	proper	5	-	-	-	-	-
-	MGM	-	proper	10B	-	-	-	-	-
-	MTV	-	proper	18B	-	-	-	-	-
-	Macintosh	-	proper	5	-	-	-	-	-
-	Makita	-	proper	9	-	-	-	-	-
-	Marc O’Polo	-	proper	1	-	-	-	-	-
-	Mastercard	-	proper	5	-	-	-	-	-
-	Mauser	-	proper	6	-	-	-	-	-
-	McAfee	-	proper	21	-	-	-	-	-
-	McDonalds	-	proper	5	-	-	-	-	-
-	Mehiläinen	-	proper	38	-	-	-	-	-
-	Mercedes	-	proper	39	-	-	-	-	-
-	Messerschmitt	-	proper	5	-	-	-	-	-
-	Meta	-	proper	9	-	-	-	-	-
-	Microsoft	-	proper	5	-	-	-	-	-
-	Moderna	-	proper	9	-	-	-	-	-
-	Monsanto	-	proper	1	-	-	-	-	-
-	Motorola	-	proper	?12|10	-	-	-	-	-
-	Musti ja Mirri	-	proper	5	-	-	-	-	-
-	MySQL	-	proper	10B	-	-	-	-	-
-	Nanso	-	proper	1	-	-	-	-	-
-	Neste	-	proper	8	-	-	-	-	-
-	New Yorker	-	proper	?6	-	-	-	-	-
-	Nexstim	-	proper	5	-	-	-	-	-
-	Nike	-	proper	8	-	-	-	-	-
-	Nikon	-	proper	?6	-	-	-	-	-
-	Nintendo	-	proper	1	-	-	-	-	-
-	Nissen	-	proper	?6	-	-	-	-	-
-	Nivea	-	proper	12	-	-	-	-	-
-	Noho	-	proper	1	-	-	-	-	-
-	Nokia	-	proper	12	-	-	-	-	-
-	Nordnet	-	proper	5	-	-	-	-	-
-	Novita	-	proper	9	-	-	-	-	-
-	Nvidia	-	proper	12	-	-	-	-	-
-	Okmetic	-	proper	5	-	-	-	-	-
-	Oomi	-	proper	5	-	-	-	-	-
-	OpenAI	-	proper	18B	-	-	-	-	-
-	Optimus	-	proper	39	-	-	-	-	-
-	Oras	-	proper	39	-	-	-	-	-
-	Oriflame	-	proper	8	-	-	-	-	-
-	Oura	-	proper	10	-	-	-	-	-
-	PETRIFUN	-	proper	5B|5	-	-	-	-	-
-	Panasonic	-	proper	5	-	-	-	-	-
-	Patria	-	proper	12	-	-	-	-	-
-	PayPal	-	proper	5	-	-	-	-	-
-	Pentik	-	proper	5	-	-	-	-	-
-	Pfizer	-	proper	?6	-	-	-	-	-
-	Philips	-	proper	5	-	-	-	-	-
-	Plantagen	-	proper	?6	-	-	-	-	-
-	Polarn O. Pyret	-	proper	5	-	-	-	-	-
-	Radisson	-	proper	6	-	-	-	-	-
-	Rajala	-	proper	12	-	-	-	-	-
-	Red Hat	-	proper	5	-	-	-	-	-
-	Reima	-	proper	9	-	-	-	-	-
-	Relex	-	proper	5	-	-	-	-	-
-	Remington	-	proper	?6	-	-	-	-	-
-	Restel	-	proper	6	-	-	-	-	-
-	Rolex	-	proper	5	-	-	-	-	-
-	Rosatom	-	proper	5	-	-	-	-	-
-	Rotax	-	proper	5	-	-	-	-	-
-	Rovio	-	proper	3	-	-	-	-	-
-	Ryobi	-	proper	5	-	-	-	-	-
-	SATS	-	proper	5B	-	-	-	-	-
-	SOL	-	proper	5B	-	-	-	-	-
-	SRV	-	proper	18B	-	-	-	-	-
-	Sako	-	proper	1	-	-	-	-	-
