-	Huittula	-	proper	12	-	-	-	-	-
-	Hujakkala	-	proper	12	-	-	-	-	-
-	Hulkkola	-	proper	12	-	-	-	-	-
-	Hunsala	-	proper	12	-	-	-	-	-
-	Huopana	-	proper	12	-	-	-	-	-
-	Huruksela	-	proper	12	-	-	-	-	-
-	Husu	-	proper	1	-	-	-	-	-
-	Husula	-	proper	12	-	-	-	-	-
-	Huttula	-	proper	12	-	-	-	-	-
-	Huuvari	-	proper	6	-	-	-	-	-
-	Hyhky	-	proper	1	-	-	-	-	-
-	Hykkilä	-	proper	12	-	-	-	-	-
-	Hyrkkälä	-	proper	12	-	-	-	-	-
-	Hyrkkölä	-	proper	12	-	-	-	-	-
-	Hyrvälä	-	proper	12	-	-	-	-	-
-	Hyvelä	-	proper	12	-	-	-	-	-
-	Hyvikkälä	-	proper	12	-	-	-	-	-
-	Hyyninen	-	proper	38	-	-	-	-	-
-	Hyypiä	-	proper	12	-	-	-	-	-
-	Hyyppä	-	proper	10	pp:p	-	-	-	-
-	Hyyrylä	-	proper	12	-	-	-	-	-
-	Hyytiälä	-	proper	10	-	-	-	-	-
-	Hyötyy	-	proper	20	-	-	-	-	-
-	Häijää	-	proper	18	-	-	-	-	-
-	Häkkilä	-	proper	12	-	-	-	-	-
-	Häntälä	-	proper	12	-	-	-	-	-
-	Härmälä	-	proper	12	-	-	-	-	-
-	Hätilä	-	proper	12	-	-	-	-	-
-	Höljäkkä	-	proper	14	kk:k	-	-	-	-
-	Höyhtyä	-	proper	12	-	-	-	-	-
-	Höysälä	-	proper	12	-	-	-	-	-
-	Höytiäinen	-	proper	38	-	-	-	-	-
-	Höytölä	-	proper	12	-	-	-	-	-
-	Ihala	-	proper	12	-	-	-	-	-
-	Ihode	-	proper	8	-	-	-	-	-
-	Ikuri	-	proper	6	-	-	-	-	-
-	Illo	-	proper	1	-	-	-	-	-
-	Illoinen	-	proper	38	-	-	-	-	-
-	Ilmoila	-	proper	10	-	-	-	-	-
-	Ilpoinen	-	proper	38	-	-	-	-	-
-	Immilä	-	proper	12	-	-	-	-	-
-	Immola	-	proper	12	-	-	-	-	-
-	Immula	-	proper	12	-	-	-	-	-
-	Impola	-	proper	12	-	-	-	-	-
-	Inha	-	proper	9	-	-	-	-	-
-	Inkarila	-	proper	12	-	-	-	-	-
-	Inkee	-	proper	17	-	-	-	-	-
-	Inkilä	-	proper	12	-	-	-	-	-
-	Inkula	-	proper	12	-	-	-	-	-
-	Intiö	-	proper	3	-	-	-	-	-
-	Irjala	-	proper	12	-	-	-	-	-
-	Ispoinen	-	proper	38	-	-	-	-	-
-	Issakka	-	proper	14	kk:k	-	-	-	-
-	Jaara	-	proper	9	-	-	-	-	-
-	Jaatila	-	proper	13	-	-	-	-	-
-	Jakkula	-	proper	12	-	-	-	-	-
-	Jamppa	-	proper	9	pp:p	-	-	-	-
-	Janhua	-	proper	12	-	-	-	-	-
-	Jatuni	-	proper	6	-	-	-	-	-
-	Jeesiö	-	proper	3	-	-	-	-	-
-	Jonkeri	-	proper	6	-	-	-	-	-
-	Jonku	-	proper	1	-	-	-	-	-
-	Jormua	-	proper	12	-	-	-	-	-
-	Jorvi	-	proper	5	-	-	-	-	-
-	Julkula	-	proper	12	-	-	-	-	-
-	Jumisko	-	proper	1	-	-	-	-	-
-	Juoksenki	-	proper	5	nk:ng	-	-	-	-
-	Juopuli	-	proper	6	-	-	-	-	-
-	Jupperi	-	proper	6	-	-	-	-	-
-	Juttila	-	proper	13	-	-	-	-	-
-	Juuma	-	proper	10	-	-	-	-	-
-	Juurakko	-	proper	4	kk:k	-	-	-	-
-	Juutas	-	proper	39	-	-	-	-	-
-	Juvola	-	proper	12	-	-	-	-	-
-	Jylhämä	-	proper	10	-	-	-	-	-
-	Jylli	-	proper	5	-	-	-	-	-
-	Jyrkkä	-	proper	10	kk:k	-	-	-	-
