meistä	me	pronoun-pl	-	+ela
meille	me	pronoun-pl	-	+all
meillä	me	pronoun-pl	-	+ade
meiltä	me	pronoun-pl	-	+abl
meiksi	me	pronoun-pl	-	+tra
meinä	me	pronoun-pl	-	+ess
te	te	pronoun-pl	-	+nom
teidät	te	pronoun-pl	-	+acc
teidän	te	pronoun-pl	-	+gen
teitä	te	pronoun-pl	-	+par
teihin	te	pronoun-pl	-	+ill
teissä	te	pronoun-pl	-	+ine
teistä	te	pronoun-pl	-	+ela
teille	te	pronoun-pl	-	+all
teillä	te	pronoun-pl	-	+ade
teiltä	te	pronoun-pl	-	+abl
teiksi	te	pronoun-pl	-	+tra
teinä	te	pronoun-pl	-	+ess
he	he	pronoun-pl	-	+nom
heidät	he	pronoun-pl	-	+acc
heidän	he	pronoun-pl	-	+gen
heitä	he	pronoun-pl	-	+par
heihin	he	pronoun-pl	-	+ill
heissä	he	pronoun-pl	-	+ine
heistä	he	pronoun-pl	-	+ela
heille	he	pronoun-pl	-	+all
heillä	he	pronoun-pl	-	+ade
heiltä	he	pronoun-pl	-	+abl
heiksi	he	pronoun-pl	-	+tra
heinä	he	pronoun-pl	-	+ess
se	se	pronoun	-	+sg+nom
sen	se	pronoun	-	+sg+gen
sitä	se	pronoun	-	+sg+par
siihen	se	pronoun	-	+sg+ill
siinä	se	pronoun	-	+sg+ine
siitä	se	pronoun	-	+sg+ela
sille	se	pronoun	-	+sg+all
sillä	se	pronoun	-	+sg+ade
siltä	se	pronoun	-	+sg+abl
siksi	se	pronoun	-	+sg+tra
sinä	se	pronoun	-	+sg+ess
ne	se	pronoun	-	+pl+nom
niiden	se	pronoun	-	+pl+gen
niitten	se	pronoun	-	+pl+gen
niitä	se	pronoun	-	+pl+par
niihin	se	pronoun	-	+pl+ill
niissä	se	pronoun	-	+pl+ine
niistä	se	pronoun	-	+pl+ela
niille	se	pronoun	-	+pl+all
niillä	se	pronoun	-	+pl+ade
niiltä	se	pronoun	-	+pl+abl
niiksi	se	pronoun	-	+pl+tra
niinä	se	pronoun	-	+pl+ess
niine	se	pronoun	-	+pl+com
niittä	se	pronoun	-	+pl+abe+rare
tuo	tuo	pronoun	-	+sg+nom
tuolta	tuo	pronoun	-	+sg+abl
tuolla	tuo	pronoun	-	+sg+ade
tuolle	tuo	pronoun	-	+sg+all
tuosta	tuo	pronoun	-	+sg+ela
tuona	tuo	pronoun	-	+sg+ess
tuon	tuo	pronoun	-	+sg+gen
tuohon	tuo	pronoun	-	+sg+ill
tuossa	tuo	pronoun	-	+sg+ine
tuota	tuo	pronoun	-	+sg+par
tuoksi	tuo	pronoun	-	+sg+tra
nuo	tuo	pronoun	-	+pl+nom
noitta	tuo	pronoun	-	+pl+abe+rare
noilta	tuo	pronoun	-	+pl+abl
noilla	tuo	pronoun	-	+pl+ade
noille	tuo	pronoun	-	+pl+all
noine	tuo	pronoun	-	+pl+com
noista	tuo	pronoun	-	+pl+ela
noina	tuo	pronoun	-	+pl+ess
noiden	tuo	pronoun	-	+pl+gen
noitten	tuo	pronoun	-	+pl+gen
noihin	tuo	pronoun	-	+pl+ill
noissa	tuo	pronoun	-	+pl+ine
noita	tuo	pronoun	-	+pl+par
noiksi	tuo	pronoun	-	+pl+tra
tämä	tämä	pronoun	-	+sg+nom
tältä	tämä	pronoun	-	+sg+abl
tällä	tämä	pronoun	-	+sg+ade
tälle	tämä	pronoun	-	+sg+all
tästä	tämä	pronoun	-	+sg+ela
tänä	tämä	pronoun	-	+sg+ess
tämän	tämä	pronoun	-	+sg+gen
tähän	tämä	pronoun	-	+sg+ill
tässä	tämä	pronoun	-	+sg+ine
tätä	tämä	pronoun	-	+sg+par
täksi	tämä	pronoun	-	+sg+tra
nämä	tämä	pronoun	-	+pl+nom
näittä	tämä	pronoun	-	+pl+abe+rare
näiltä	tämä	pronoun	-	+pl+abl
näillä	tämä	pronoun	-	+pl+ade
näille	tämä	pronoun	-	+pl+all
näine	tämä	pronoun	-	+pl+com
näistä	tämä	pronoun	-	+pl+ela
näinä	tämä	pronoun	-	+pl+ess
näiden	tämä	pronoun	-	+pl+gen
näitten	tämä	pronoun	-	+pl+gen
näihin	tämä	pronoun	-	+pl+ill
näissä	tämä	pronoun	-	+pl+ine
näitä	tämä	pronoun	-	+pl+par
näiksi	tämä	pronoun	-	+pl+tra
kuka	kuka	pronoun	-	+sg+nom
kenet	kuka	pronoun	-	+sg+acc
kenen	kuka	pronoun	-	+sg+gen
ketä	kuka	pronoun	-	+sg+par
keneen	kuka	pronoun	-	+sg+ill
kehen	kuka	pronoun	-	+sg+ill
kenessä	kuka	pronoun	-	+sg+ine
kenestä	kuka	pronoun	-	+sg+ela
kenelle	kuka	pronoun	-	+sg+all
kenellä	kuka	pronoun	-	+sg+ade
keneltä	kuka	pronoun	-	+sg+abl
kelle	kuka	pronoun	-	+sg+all
kellä	kuka	pronoun	-	+sg+ade
keltä	kuka	pronoun	-	+sg+abl
keneksi	kuka	pronoun	-	+sg+tra
kenenä	kuka	pronoun	-	+sg+ess
kenä	kuka	pronoun	-	+sg+ess
ketkä	kuka	pronoun	-	+pl+nom
keiden	kuka	pronoun	-	+pl+gen
keitten	kuka	pronoun	-	+pl+gen
